Cruise,Station,Year,Month,Day,Hour,Lat,Long,Pressure_CTD (dbar),Depth (m),Temperatura_CTD (C),Salinidade_CTD (psu),Sound velocity_CTD (m/s),Density_CTD(kg/m3),Prof local (m),Secchi (m),Salinidade (psu),Temperatura (C),pH,pH2,Tph,OD (mg/L),OD (% sat),OD (frasco),pCO2,Cond(mS/cm),Ch4,Metais (ml),N Fil Metais,MPS (mL),MPS (mg/ L),Volume filtrado Chl-a (ml),Chl a (ug/m3),Feo (ug/m3),Clorf-a (ug/m3),Clorf-b (ug/m3),Clorf-c (ug/m3),Clorf-a 2(ug/m3),Clorf-b 2(ug/m3),Clorf-c 2(ug/m3),Carotenoide Diatom (ug/m3),Carotenoide Dinofl (ug/m3)
VLT01,VLT126,2021,11,5,10:14,-23.229167,-44.5977,,12.1,,,,,13.1,,,,,,,,,,,,,,,,,1000,5.09,3.05,7.1,0.36,1.25,7.01,0.24,2.79,3.35,8.38
VLT01,VLT127,2021,11,5,11:11,-23.247433,-44.618233,,1,,,,,9.1,5,33.05,23.32,8.21,8.24,,7.62,108,,454,,,,,2750,2.1,2750,0.8,0.14,0.9,0.04,0.16,0.9,0.03,0.35,0.54,1.35
VLT01,VLT127,2021,11,5,11:11,-23.247433,-44.618233,,1,,,,,9.1,,,,,,,,,,,,,,,,,1000,0.64,0.03,0.7,0.03,0.06,0.67,0.02,0.14,0.54,1.34
VLT01,VLT127,2021,11,5,11:11,-23.247433,-44.618233,,8.1,,,,,9.1,,,,,,,,,,,,,,,,,500,5.53,1.56,6.7,0.27,1.12,6.58,0.16,2.5,3.35,8.38
VLT01,VLT128,2021,11,5,15:03,-23.297767,-44.645167,,1,,,,,2.9,2,31.91,25.69,8.16,8.345,,8.11,119.2,,530,,,,,1000,18.3,1000,4.84,1.04,5.7,0.05,1.13,5.57,-0.03,2.53,2.81,7.02
VLT01,VLT128,2021,11,5,15:03,-23.297767,-44.645167,,1,,,,,2.9,,,,,,,,,,,,,,,,,1000,3.68,0.49,4.1,-0.01,0.82,4.05,-0.06,1.83,2.13,5.31
VLT01,VLT128,2021,11,5,15:03,-23.297767,-44.645167,,1.9,,,,,2.9,,,,,,,,,,,,,,,,,500,4.38,0.65,5,-0.05,0.98,4.87,-0.12,2.2,2.58,6.45
VLT01,VLT129,2021,11,5,16:02,-23.285467,-44.644967,,1,,,,,5.3,2,32.41,24.85,8.21,8.37,,8.25,119.7,,466,,,,,2000,6.9,2000,1.27,0.39,1.6,0.02,0.3,1.54,0,0.67,1.02,2.55
VLT01,VLT129,2021,11,5,16:02,-23.285467,-44.644967,,1,,,,,5.3,,,,,,,,,,,,,,,,,1000,1.69,0.31,2,0.02,0.31,1.92,0,0.69,1.39,3.47
VLT01,VLT129,2021,11,5,16:02,-23.285467,-44.644967,,4.3,,,,,5.3,,,,,,,,,,,,,,,,,500,2.57,0.42,2.9,-0.04,0.47,2.88,-0.08,1.05,1.66,4.15
VLT01,VLT130,2021,11,5,16:45,-23.270867,-44.634633,,1,,,,,6.6,5,33.9,24.3,8.21,8.327,,7.77,112.3,,465,,,,,2500,3.9,2500,0.43,0.1,0.5,0.02,0.06,0.5,0.01,0.14,0.42,1.04
VLT01,VLT130,2021,11,5,16:45,-23.270867,-44.634633,,1,,,,,6.6,,,,,,,,,,,,,,,,,1000,0.8,0.08,0.9,-0.03,0.1,0.87,-0.04,0.22,0.79,1.97
VLT01,VLT130,2021,11,5,16:45,-23.270867,-44.634633,,5.6,,,,,6.6,,,,,,,,,,,,,,,,,500,0.96,0.18,1.1,0.01,0.13,1.09,-0.01,0.3,0.9,2.25
